Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants
Issue#1970 Jdk5 backport v17.0 compatibility,cla: yes,,,"paulduffin: Reverts (at least in part) a number of changes made to jdk5-backport-v17.0-post to make it more compatible with code built against jdk5-backport-v14.0.1-post, specifically AOSP code. The reverted changes added back methods that had been present in v14 (deprecated and not) and since been removed. The intent is to allow AOSP code that built against v14.0.1 to also build against the compatibility version of v17.0 without modification (or with minimal atomic modifications). That will make upgrading itself easier and will allow other changes such as removing usages of deprecated methods to be done in stages.  cgdecker: Rather than merging this into jdk5-backport-master, I think I'll just pull it as a separate branch and give it a tag. Running the tests against a JDK5 rt.jar, I found one test in ByteStreamsTest that was calling getBytes(Charset) which didn't exist in JDK5. I'll just add a commit fixing that to the branch.  cgdecker: I've pulled the branch in (plus the fix I mentioned) with the tag jdk5-backport-v17.0-compatibility (https://github.com/google/guava/commits/jdk5-backport-v17.0-compatibility).  ",2015-02-11 14:58:21,2015-02-12 18:44:28,13,53,4
Issue#1971 google code conventions,cla: no,,,"rpau: Hi, I have applied the eclipse formatter using the Google configuration for Java projects available at https://code.google.com/p/google-styleguide/source/browse/trunk/eclipse-java-google-style.xml
Is there another formatter configuration for this project? Thanks!  googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA) at https://cla.developers.google.com/. If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check the information on your CLA or see this help article on setting the email on your git commits. Once you've done that, please reply here to let us know.  If you signed the CLA as a corporation, please let us know the company's name.  rpau: Done :)  googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  kevinb9n: We have found that no matter what the configuration, eclipse does not do an
acceptable job of auto-formatting code to Google style. We are planning to
open-source our own formatter in the next few months. Thanks for your
interest. On Thu, Feb 12, 2015 at 2:50 AM, Raquel Pau notifications@github.com
wrote: Hi, I have applied the eclipse formatter using the Google configuration for
Java projects available at
https://code.google.com/p/google-styleguide/source/browse/trunk/eclipse-java-google-style.xml
Is there another formatter configuration for this project? You can view, comment on, or merge this pull request online at: #1971
Commit Summary File Changes Patch Links: —
Reply to this email directly or view it on GitHub
#1971. Kevin Bourrillion | Java Librarian | Google, Inc. | kevinb@google.com  lowasser: To be clear, Guava code is currently thoroughly hand-formatted.  lowasser: But do you follow the guide of Java code conventions writen by Google? Yes.  Some of our team members are on the committee that writes Google's Java style guide. If so, could you explain me why the eclipse formater produces an invalid format and you have decided to build your own formater? I'm not sure what you expect here, other than ""it generates awkward code or code that doesn't satisfy our style guide no matter how we configure it."" Then, if I would like to contribute to improve guava, how I can configure my editor formater? Don't use an automatic formatter; format only the lines you change, by hand.  kevinb9n: It seems unproductive to try to give a long explanation of what we found unacceptable about eclipse's formatter, when we will be releasing our formatter and you can see the differences for yourself.  rpau: Perfect, thanks for recovering my text and answer my questions :)  kevinb9n: @rpau your comment was posted four times, so I removed the redundant copies but left one in place.  I wonder if maybe someone else was trying to do that at the same time.  Sorry about that.  ",2015-02-12 10:50:14,2015-02-12 19:12:49,1,799,5
Issue#1972 google code conventions,cla: yes,,,"rpau: Thi is an updated version with the CLA email that updates the whole codebase with the eclipse formatter that Google provides. 



              The text was updated successfully, but these errors were encountered:
              cgdecker: Kevin mentioned our issues with the Eclipse formatter in #1971, so I'm going to close this too. In addition to the Eclipse formatter issue, I'd also note that anything affecting large swaths of the codebase like this really needs to be done internally and then synced out. We just don't have a good way to make changes in the other direction.  ",2015-02-12 11:16:06,2015-02-12 19:14:47,1,1466,3
Issue#1979 Builder to create ThreadPoolExecutor and ScheduledThreadPoolExecutor,cla: no,,,"yanglifan: JDK Executors provides several tool methods to create ThreadPoolExecutor and ScheduledThreadPoolExecutor. But these methods are not flexible. But if build up ThreadPoolExecutor and ScheduledThreadPoolExecutor from nothing, it will be a little complex. Apache Camel has a ThreadPoolBuilder but it is complex since bind with CamelContext. So I create a simple builder to create ThreadPoolExecutor and ScheduledThreadPoolExecutor.  googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA) at https://cla.developers.google.com/. If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check the information on your CLA or see this help article on setting the email on your git commits. Once you've done that, please reply here to let us know.  If you signed the CLA as a corporation, please let us know the company's name.  cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here. If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.  ",2015-02-21 14:34:58,2017-01-09 20:04:51,1,2,3
Issue#1984 Add a weight() method to Cache,"package=cache, cla: no",,,"cheddar: Cache objects currently do not have a method of introspecting on the current ""weight"" value.  I am replacing an implementation of a cache that is just a synchronized LinkedHashMap.  In my current implementation of the cache, I'm keeping track of the weights of things being stored and exposing that as a metric about my cache.  This is the only feature of my current implementation that is not covered by Guava's Cache. From looking at the code, it seemed relatively easy to just create another method parallel to size() to handle this case so I just went ahead and did it.  The guidelines do state that API changes should start as an issue, but I didn't realize that until I had already done this and it is such a simple fix, it doesn't bother me if it gets thrown away (as long as I do get some method of introspecting on the current weight value ;) ). I do realize that this is a public API change, it is only an addition, but it does mean that if anyone else is implementing the Cache interface from scratch, their code will have to be updated before it can work with this.  I'm not sure what level of API compatibility is maintained with Guava, but as long as people are only using Guava-built cache objects, it should be a forward-compatible change. Also, I updated unit tests as I could find ones that seemed relevant, but I will admit that I didn't read and comprehend all tests, so I might've missed a good place to add some more verification of the weight computation.  Let me know if there are other tests to update and I'll be happy to. If you think this is going to work, let me know and I'll make sure to get a CLA. 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA) at https://cla.developers.google.com/. If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check the information on your CLA or see this help article on setting the email on your git commits. Once you've done that, please reply here to let us know.  If you signed the CLA as a corporation, please let us know the company's name.  cheddar: It seems to be failing when trying to generate the gwt source.  I'll see if I can repro the failure on my local machine and try to fix, but any pointers to what might cause the gwt compilation to fail would be helpful.  cheddar: Ok, on my local machine, I cannot seem to download com.google.guava:guava:java-source:19.0-SNAPSHOT Looks like it is not in sonatype-nexus-snapshots So, it's failing, but for a different reason...  I guess I'll wait on fixing that until the discussion of whether this API change could even be considered has happened.  ben-manes: The predecessor, ConcurrentLinkedHashMap introduced the concept of weights and provides a weightedSize method. That may be a simpler migration path. (Note: currently moving to Github due to Google Code shutdown) The JDK8 rewrite, Caffeine, exposes additional inspection including the weighted size through the Policy abstraction. That project is maturing quickly but not yet released.  cheddar: @ben-manes So, are you suggesting that instead of using a Cache in my code I use ConcurrentLinkedHashMap? Can't really use something that isn't released yet :)  ben-manes: I'm offering it as an option as your changes may not be accepted and you would have to wait for the next release if they are. If all you need are the basic features of its predecessor, then its a reasonable option. The old wiki is in the Github wiki branch since the migration didn't move it over properly.  cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here. If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.  ",2015-03-03 01:05:37,2017-01-09 20:04:52,1,10,4
Issue#1990 Created a Changelog,cla: yes,,,"silentmoose: Created a CHANGELOG in the root directory. With proper formatting the app could also read from this file and view the changes within the app. Changelog should be updated with each pull accept. Also, as main developers release updates to the code other contributors will now be able to see the change in the changelog. 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA) at https://cla.developers.google.com/. If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check the information on your CLA or see this help article on setting the email on your git commits. Once you've done that, please reply here to let us know.  If you signed the CLA as a corporation, please let us know the company's name.  cgruber: So first of all, this should be CHANGELIST.md.  Much more useful as a markdown file. Second, I'm not sure this file adds much value, as a placeholder.  It doesn't include the massive back-fill of change log information, and doesn't provide much structure so it's not really a pull request so much as a documentation request (which is fair, but that's an issue, not a p/r) Also, we have so much coming out from internal commits, and google's internal commits are usually unique, meaningful changes with a reasonable commit description, that it is nearly certain to be just as valuable to automatically crib the descriptions from the list of commits and use that as a first-draft log of changes.  Maintaining one manually and incrementally may be worth it, but I'm not convinced. @cgdecker - any opinions?  I'm not sure what you had in mind for release changelogs.  My personal feeling is that we take the full list from the last release and trim it into a changelog.  I do like the idea of demonstrating the delta, the additional features/changes/etc.  silentmoose: Appreciate your detailed explanation. I do feel that a changelog that users can quickly skim to see new additions is important. Now as far as actual implementation obviously that does not matter as much to me as the actual active devs.  googlebot: CLAs look good, thanks!  ben-manes: fyi, you should consider using Github releases instead of a changelog.  cpovirk: I think Colin puts together a pretty good list for each release, e.g.:
https://github.com/google/guava/wiki/Release21 We also provide automated diffs between the current snapshot and the previous release:
http://google.github.io/guava/releases/snapshot/api/diffs/ We could try to keep a running changelog between releases, but I fear it will never become a high enough priority in comparison to the changes themselves, given the existing things we provide here.  ",2015-03-07 15:09:03,2017-01-30 22:38:18,1,1,5
Issue#2002 Add callbacks to EventBus,"type=addition, package=eventbus, cla: yes, P4",,,"smetarom: I would appreciate a feature, where I can  add additional functionality to EventBus. My main goal is to extend logging and debugging capabilities of EventBus. My proposal is to create callbacks, which are overwritten in the child class. As at is now, I have to do logging before I call EventBus.post and it creates code duplication. The simple example: EventBus eventBus = new EventBus() {
@override
protected void onEventPosted(Object event) {
// do some logging
}
}; I added onRegister, onUnregister, onEventPosted, and onNoSubscriberRegistered callbacks to corresponding methods.  kluever: We're unlikely to add new features to com.google.common.eventbus in the near future (and will in fact be recommending alternatives).  ",2015-03-17 07:12:50,2021-04-19 15:23:05,1,1,4
Issue#2012 Alternative way to get AssertionError instance in,cla: yes,,,"Sumu-Ning: Alternative way to get AssertionError instance in com.google.common.util.concurrent.GeneratedMonitorTest, since
public AssertionError(String message, Throwable cause)
does not exist in Java 6 yet. 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA) at https://cla.developers.google.com/. If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check the information on your CLA or see this help article on setting the email on your git commits. Once you've done that, please reply here to let us know.  If you signed the CLA as a corporation, please let us know the company's name.  cpovirk: Our current policy is that Guava runs with Java 6+ but that it may require a newer version to build. I would not mind if we fixed this occurrence up, but we currently have no way to prevent future violations. Animal Sniffer, which we use for Java 6 enforcement, seems to work only on the main compile, not the test compile. (I was able to run it only by telling Maven that our test sources were normal sources and that all of our test-only deps were normal deps.) If anyone can figure out a way to run it on the test sources, we'd probably be interested. [edit: Animal Sniffer starts checking test code in 1.19.] (Also, see the CLA warning above. If it's something you'd rather not sign, I can submit my own workaround. (This is a problem we've had to confront in ours tests previously where it affected GWT compatibility.))  Sumu-Ning: I thought I have signed the cla, but only after I created the pull request.
Is that the reason, or do I need to sign a different one?  googlebot: CLAs look good, thanks!  cpovirk: I guess that the bot just takes a little while to run. Or maybe someone needs to come and say the magic work ""CLA?"" Anyway, looks good now. Thanks!  cgdecker: I think the bot might just require someone (possibly the author?) to comment on the pull request again after the CLA has been signed for it to check again.  cpovirk: Done in 9131ddb It looks like we got the commit metadata wrong -- sorry.  ",2015-03-23 23:16:13,2015-06-11 18:28:17,3,20,4
Issue#2017 Add missing serialVersionUID field to Converter and VerifyException classes.,cla: yes,,,"mtuchowski: Both Converter and VerifyException implement Serializable interface, so they should declare a static final serialVersionUID field. 



              The text was updated successfully, but these errors were encountered:
              mtuchowski: I added second commit (Deprecated Objects.toStringHelper()...) by mistake to this pull request...  ",2015-03-29 11:59:36,2016-04-11 08:13:05,2,3,2
Issue#2020 I suggest adding generators to com.google.common.collect.Iterators,cla: no,,,"eirikma: I suggest adding (possibly infinite) generators to the Iterators class. The idea is to have an Iterator presenting a possibly infinite sequence of values, generated on the fly a generator function so you don't have to keep all of that in memory at once. Two use cases are provided as unit tests:
a) some kind of endless computation
b) iterating over possibly infinite input.  googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA) at https://cla.developers.google.com/. If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check the information on your CLA or see this help article on setting the email on your git commits. Once you've done that, please reply here to let us know.  If you signed the CLA as a corporation, please let us know the company's name.  eirikma: I've signed it now. On Wed, Apr 1, 2015 at 12:27 AM, googlebot notifications@github.com wrote: Thanks for your pull request. It looks like this may be your first contribution to a Google open source
project, in which case you'll need to sign a Contributor License Agreement
(CLA) at https://cla.developers.google.com/. If you've already signed a CLA, it's possible we don't have your GitHub
username or you're using a different email address. Check the information
on your CLA https://cla.developers.google.com/clas or see this help
article on setting the email on your git commits
https://help.github.com/articles/setting-your-email-in-git/. Once you've done that, please reply here to let us know. If you signed the
CLA as a corporation, please let us know the company's name. —
Reply to this email directly or view it on GitHub
#2020 (comment).  googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  eirikma: Found it, at last. There was a wrong email address in the commits. I
authored everything myself. On Wed, Apr 1, 2015 at 12:30 AM, googlebot notifications@github.com wrote: We found a Contributor License Agreement for you (the sender of this pull
request), but were unable to find agreements for the commit author(s). If
you authored these, maybe you used a different email address in the git
commits than was used to sign the CLA (login here
https://cla.developers.google.com/ to double check)? If these were
authored by someone else, then they will need to sign a CLA as well, and
confirm that they're okay with these being contributed to Google. —
Reply to this email directly or view it on GitHub
#2020 (comment).  eirikma: hmm.. seems like there is still a missing @nullable on 'initialState,  line 1213.  peteryhwong: According to the javadoc standard in https://google-styleguide.googlecode.com/svn/trunk/javaguide.html, it should be 'Creates' and not Create'. This will also be consistent with other methods of this class.  cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here. If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.  ",2015-03-31 22:27:28,2017-01-09 20:04:52,4,5,4
Issue#2025 Iterables.get() alternative returning Optional.absent(),"type=enhancement, cla: yes, P3",,,"gotenxds: Hi, decided it will be nice to have an Optional version to the get methods of Iterables.
Also as suggested here #1742 but with a minor difference: Both methods will return Optional.absent if the position is grater then the requested index and will also return Optional.absent if the value in the requested index is null. thoughts ?  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  gotenxds: I signed it.  googlebot: CLAs look good, thanks!  lowasser: This looks like you could easily do it yourself as Optional.fromNullable(Iterables.get(Iterable, into, null)).  Is it worth adding another method when it's that easy to roll yourself?  gotenxds: Sure you could do But I think it's quite a mouthful, plus there is that null where the default value is which is not a big deal when you use the But it reduces readability when all you need is Debugging a code with this line Will make you enter iterables.get implementation to understand the null value.  Loki-Afro: 👍 I agree with gotenxds.  drothmaler: I like the idea, but i propose to change the name to tryGet, because it aligns better with find/tryFind and as a bonus it's even shorter :-)  ",2015-04-07 06:34:09,,2,2,6
Issue#2043 update travis-ci for new container based infrastructure and maven cachin...,cla: yes,,,"codylerum: Looks like this shaves 9+ minutes in total off the build and about 3 per sub build 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  codylerum: I signed it!  googlebot: CLAs look good, thanks!  cpovirk: @cgruber , is this something that we should do?  cgdecker: This seems reasonable to me.  cgdecker: Thanks! This change has been made in commit 01d5493.  cgruber: Yeah.  This is good. Thanks! On Wed, May 20, 2015, 13:44 Colin Decker notifications@github.com wrote: Closed #2043 #2043. —
Reply to this email directly or view it on GitHub
#2043 (comment).  ",2015-05-01 12:50:21,2015-05-20 20:43:56,1,1,5
Issue#2044 Small Javadoc fix.,cla: yes,,,"archiecobbs: 
No description provided.
 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  archiecobbs: I signed it!  googlebot: CLAs look good, thanks!  kluever: Thanks Archie...I've fixed this internally and it'll be mirrored out shortly. Sadly, it's typically easier for us to just fix it internally and mirror it out vs. merging pull requests. I hope we get that fixed soon though.  ",2015-05-01 17:02:14,2015-05-01 19:44:46,1,1,3
Issue#2045 Removed unnecessary null check from io.BaseEncoding.encode(bytes),cla: no,,,"javajosh: The check is done on line 166, so the first check is redundant. 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  javajosh: I assume I just signed away my first-born. Well, you can have him, Google.  googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  kluever: Thanks Josh! We don't have a good mechanism for merging patches, so I'm going to submit a change internally and it should get mirrored out shortly. There were actually a handful of unnecessary checkNotNulls in this file...I think I got 'em all. Thanks again!  ",2015-05-06 16:57:53,2015-05-06 17:09:48,1,1,3
Issue#2046 Removed unnecessary null check from io.BaseEncoding.encode(bytes),cla: no,,,"javajosh: The check is done on line 166, so the first check is redundant.  googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  kluever: Thanks Josh! We don't have a good mechanism for merging patches, so I'm going to submit a change internally and it should get mirrored out shortly. There were actually a handful of unnecessary checkNotNulls in this file...I think I got 'em all. Thanks again!  ",2015-05-06 17:14:48,2015-05-06 17:34:56,1,1,3
Issue#2052 Update JavaDoc for Maps Difference.,cla: yes,,,"qayshp: Make the JavaDoc more clear about what happens in cases of equivalence.  kevinb9n: I'm not sure I see a good reason to commit to this behavior in the
specification.  In case of equality, it should not matter which instance
is returned. That's what equality means. On Wed, May 13, 2015 at 9:06 AM, Qays H. Poonawala <notifications@github.com wrote: You can view, comment on, or merge this pull request online at: #2052
Commit Summary File Changes Patch Links: —
Reply to this email directly or view it on GitHub
#2052. Kevin Bourrillion | Java Librarian | Google, Inc. | kevinb@google.com  qayshp: That's a fair point, and maybe it should be removed completely.
The JavaDoc had already mentioned this for the second method (which takes a user supplied equivalence class comparator), and it was confusing to me for not only what you mentioned, but also it wasn't clear to me at first what it meant by ""returned in the difference"".  kevinb9n: Whoops!  So it does.  I hadn't noticed that when it came through.  I would
be more inclined to take it out than to do more of it, though. On Wed, May 13, 2015 at 10:44 AM, Qays H. Poonawala <
notifications@github.com> wrote: That's a fair point, and maybe it should be removed completely.
The JavaDoc had already mentioned this for the second method (which takes
a user supplied equivalence class comparator), and it was confusing to me
for not only what you mentioned, but also it wasn't clear to me at first
what it meant by ""returned in the difference"". —
Reply to this email directly or view it on GitHub
#2052 (comment). Kevin Bourrillion | Java Librarian | Google, Inc. | kevinb@google.com  ",2015-05-13 16:06:12,2017-04-18 14:00:49,1,1,3
